,Age,Income_Monthly,Credit_Score,Debt_to_Income_Ratio,Experience_Years,Existing_Loans_Count,Savings_Balance,Missed_Payments_Last_Year,Default_Status,Debt_Stress_Index,Monthly_Debt_Amount
31,36,7898,442,0.24,10,1,46899,2,1,106.08,1895.52
32,24,4011,651,0.33,24,0,33007,0,0,214.83,1323.63
33,58,8251,844,0.33,30,1,7744,0,0,278.52000000000004,2722.83
34,28,6939,451,0.39,20,2,34683,0,0,175.89000000000001,2706.21
35,42,6006,457,0.24,2,2,54660,3,1,109.67999999999999,1441.44
36,30,3625,745,0.14,11,4,110734,0,0,104.30000000000001,507.50000000000006
37,60,12956,602,0.17,39,2,146357,0,0,102.34,2202.52
38,39,2890,749,0.45,24,4,105689,0,1,337.05,1300.5
39,25,8078,523,0.11,16,4,42088,0,0,57.53,888.58
40,46,9036,342,0.53,37,1,141618,3,0,181.26000000000002,4789.08
41,35,10923,563,0.45,35,1,23262,0,0,253.35,4915.35
42,30,5961,302,0.48,35,2,145322,1,0,144.96,2861.2799999999997
43,47,14893,567,0.52,18,1,95473,0,0,294.84000000000003,7744.360000000001
44,23,4504,315,0.16,1,0,36103,0,1,50.4,720.64
45,41,10806,633,0.51,16,3,51846,0,0,322.83,5511.06
46,49,5806,763,0.35,29,0,67023,0,0,267.05,2032.1
47,28,8100,358,0.54,9,0,132155,1,0,193.32000000000002,4374.0
48,29,3719,476,0.54,34,4,127410,0,0,257.04,2008.2600000000002
49,56,14961,362,0.11,35,3,47214,0,0,39.82,1645.71
50,35,8686,606,0.29,32,4,97787,2,0,175.73999999999998,2518.9399999999996
51,38,3587,545,0.36,0,1,51374,1,0,196.2,1291.32
52,57,9000,588,0.44,17,1,19478,0,0,258.72,3960.0
53,61,11803,631,0.24,3,3,7648,2,0,151.44,2832.72
54,25,2896,826,0.23,26,2,39721,0,0,189.98000000000002,666.08
55,23,7558,554,0.29,24,1,87001,0,0,160.66,2191.8199999999997
56,27,10469,809,0.35,27,0,115523,0,1,283.15,3664.1499999999996
57,63,6647,762,0.58,21,3,89773,0,0,441.96,3855.2599999999998
58,25,11828,498,0.48,24,3,17970,1,1,239.04,5677.44
59,50,12350,570,0.31,16,1,45838,0,0,176.7,3828.5
60,39,4432,363,0.13,11,1,67637,0,0,47.190000000000005,576.16
61,47,5904,529,0.18,15,4,145928,0,0,95.22,1062.72
62,55,13454,548,0.33,36,4,57807,0,0,180.84,4439.820000000001
63,31,8837,545,0.51,15,0,141218,1,0,277.95,4506.87
64,57,3449,456,0.29,16,3,55129,0,0,132.23999999999998,1000.2099999999999
65,35,6500,387,0.37,30,2,37056,0,0,143.19,2405.0
66,52,7454,612,0.55,14,2,13986,2,0,336.6,4099.700000000001
67,36,11424,365,0.56,12,3,86381,0,1,204.4,6397.4400000000005
68,29,6117,319,0.21,39,0,104753,0,0,66.99,1284.57
69,35,10869,332,0.12,26,4,144494,0,0,39.839999999999996,1304.28
70,44,12850,372,0.25,20,4,111805,0,0,93.0,3212.5
71,61,4028,642,0.45,1,4,115531,0,0,288.90000000000003,1812.6000000000001
72,42,8845,432,0.58,7,2,6262,0,1,250.55999999999997,5130.099999999999
73,37,5758,354,0.14,6,2,114327,1,0,49.56,806.1200000000001
74,39,7904,360,0.11,9,0,82393,2,1,39.6,869.44
75,45,6624,819,0.54,3,2,137077,1,0,442.26000000000005,3576.96
76,47,12229,571,0.47,35,1,118915,2,0,268.37,5747.63
77,46,12841,545,0.6,34,2,126714,3,0,327.0,7704.599999999999
78,62,10848,475,0.3,2,4,110680,1,0,142.5,3254.4
79,50,2165,616,0.31,17,0,57583,2,0,190.96,671.15
80,36,6591,430,0.19,23,3,38557,0,0,81.7,1252.29
81,22,2589,401,0.16,31,3,85040,0,0,64.16,414.24
82,46,6524,609,0.39,33,0,146552,0,0,237.51000000000002,2544.36
83,28,4821,591,0.28,1,1,146680,0,0,165.48000000000002,1349.88
84,30,14450,794,0.14,1,3,19776,2,1,111.16000000000001,2023.0000000000002
85,45,8509,660,0.54,9,4,88896,0,0,356.40000000000003,4594.860000000001
86,22,9693,637,0.2,22,3,72533,1,0,127.4,1938.6000000000001
87,29,11454,309,0.47,14,3,120126,0,0,145.23,5383.38
88,45,2071,348,0.24,11,4,132736,0,0,83.52,497.03999999999996
89,32,13708,786,0.51,16,2,145042,0,0,400.86,6991.08
90,38,14942,620,0.16,17,1,14319,2,0,99.2,2390.7200000000003
91,29,5580,432,0.48,13,4,120182,2,0,207.35999999999999,2678.4
92,56,9962,382,0.15,16,4,141551,1,0,57.3,1494.3
93,56,2268,356,0.32,14,0,3048,0,0,113.92,725.76
94,54,11968,675,0.47,11,1,36002,0,0,317.25,5624.96
95,26,4462,648,0.19,15,2,9069,0,0,123.12,847.78
96,63,11460,570,0.24,31,4,62905,0,0,136.79999999999998,2750.4
97,60,3015,782,0.53,22,2,20746,1,1,414.46000000000004,1597.95
98,62,12914,410,0.54,37,4,55918,0,1,221.4,6973.56
99,49,11275,375,0.12,33,4,3778,0,0,45.0,1353.0
100,28,14293,457,0.18,33,0,93155,0,0,82.25999999999999,2572.74
101,30,9984,831,0.16,15,3,115786,0,0,132.96,1597.44
102,29,2406,628,0.19,33,1,123539,0,0,119.32000000000001,457.14
103,33,9384,421,0.59,39,0,130495,3,0,248.39,5536.5599999999995
104,55,8049,340,0.38,6,2,118289,0,0,129.2,3058.62
105,54,8169,466,0.33,32,4,4114,1,1,153.78,2695.77
106,44,9982,322,0.59,3,4,136279,0,0,189.98,5889.38
107,45,13268,578,0.38,6,1,102732,1,0,219.64000000000001,5041.84
108,58,2985,768,0.43,17,0,37523,0,0,330.24,1283.55
109,56,13795,699,0.27,3,0,120115,0,0,188.73000000000002,3724.65
110,61,6485,308,0.29,10,2,122408,0,0,89.32,1880.6499999999999
111,43,10901,312,0.4,19,0,104024,0,0,124.80000000000001,4360.400000000001
112,48,4618,351,0.13,10,0,107516,0,0,45.63,600.34
113,56,8289,508,0.23,14,3,32432,2,0,116.84,1906.47
114,22,11603,849,0.2,16,1,105408,0,0,169.8,2320.6
115,56,8928,701,0.11,33,0,89035,1,0,77.11,982.08
116,58,7368,490,0.37,11,2,2761,0,0,181.3,2726.16
117,35,6621,350,0.38,27,4,135970,0,0,133.0,2515.98
118,24,11677,692,0.29,34,0,25950,0,0,200.67999999999998,3386.33
119,22,13142,599,0.23,7,0,134329,0,0,137.77,3022.6600000000003
120,26,14843,495,0.43,26,4,37585,0,0,212.85,6382.49
121,47,13126,716,0.17,21,3,136508,0,0,121.72000000000001,2231.42
122,35,9566,719,0.36,23,1,117031,2,0,258.84,3443.7599999999998
123,60,14306,821,0.48,1,3,42380,0,0,394.08,6866.88
124,48,6670,655,0.18,30,2,116879,1,0,117.89999999999999,1200.6
125,30,9658,447,0.48,21,0,113132,0,0,214.56,4635.84
126,36,3003,664,0.48,0,3,79390,0,1,318.71999999999997,1441.44
127,36,12658,663,0.13,13,1,5309,0,0,86.19,1645.54
128,47,9504,701,0.11,24,2,61502,0,0,77.11,1045.44
129,63,4466,791,0.59,35,3,7745,1,1,466.69,2634.94
130,34,12130,528,0.2,35,0,38608,1,0,105.60000000000001,2426.0
131,53,3939,836,0.51,2,1,102558,0,0,426.36,2008.89
132,60,3635,567,0.38,4,0,57922,1,0,215.46,1381.3
133,53,11890,704,0.23,0,0,101069,0,0,161.92000000000002,2734.7000000000003
134,25,10095,310,0.16,18,2,137190,2,0,49.6,1615.2
135,51,8265,619,0.35,32,1,136885,0,0,216.64999999999998,2892.75
136,58,14719,425,0.3,29,4,111475,0,0,127.5,4415.7
137,44,12283,605,0.45,11,0,95708,1,0,272.25,5527.35
138,60,3895,810,0.55,9,1,96956,0,0,445.50000000000006,2142.25
139,36,8524,388,0.5,33,0,113731,0,0,194.0,4262.0
140,64,14432,654,0.24,15,3,1126,0,0,156.96,3463.68
141,50,13590,651,0.54,39,3,70109,2,1,351.54,7338.6
142,57,3073,313,0.52,28,1,91776,0,1,162.76000000000002,1597.96
143,34,7184,556,0.56,14,2,82606,0,0,311.36,4023.0400000000004
144,53,4402,508,0.33,10,4,94664,1,0,167.64000000000001,1452.66
145,28,6895,580,0.48,33,3,33552,2,1,278.4,3309.6
146,43,9331,742,0.4,35,2,3368,0,0,296.8,3732.4
147,49,13404,688,0.26,29,4,80829,0,0,178.88,3485.04
148,23,14229,782,0.6,34,3,93702,0,0,469.2,8537.4
149,63,11343,446,0.12,8,4,131830,0,0,53.519999999999996,1361.1599999999999
150,27,12637,578,0.18,17,0,34164,0,0,104.03999999999999,2274.66
151,49,3956,820,0.55,18,1,43142,0,0,451.00000000000006,2175.8
152,49,9023,733,0.13,38,3,105554,0,0,95.29,1172.99
153,41,14750,443,0.54,3,3,138964,2,0,239.22000000000003,7965.000000000001
154,51,5907,588,0.46,5,0,137776,0,0,270.48,2717.2200000000003
155,32,2807,685,0.12,32,3,38657,0,0,82.2,336.84
156,49,10378,313,0.31,31,3,7520,0,0,97.03,3217.18
157,46,6827,556,0.48,15,3,23118,0,0,266.88,3276.96
158,60,6524,645,0.39,10,3,125300,0,0,251.55,2544.36
159,54,11499,644,0.57,21,3,63176,0,0,367.08,6554.429999999999
160,22,4284,699,0.53,35,2,5208,2,0,370.47,2270.52
161,48,7313,506,0.27,22,3,92786,0,0,136.62,1974.5100000000002
162,34,2757,471,0.14,25,0,70883,0,0,65.94000000000001,385.98
163,62,14423,763,0.57,30,3,74037,0,0,434.90999999999997,8221.109999999999
164,24,6887,569,0.36,28,4,148179,0,0,204.84,2479.3199999999997
165,60,5854,520,0.14,4,4,141169,0,0,72.80000000000001,819.5600000000001
166,27,14458,451,0.51,37,0,5361,0,1,230.01,7373.58
167,29,12398,482,0.53,24,2,71620,0,1,255.46,6570.9400000000005
168,48,5558,698,0.42,33,0,21026,1,0,293.15999999999997,2334.36
169,30,11772,371,0.32,11,2,148316,0,0,118.72,3767.04
170,58,2961,717,0.43,21,1,132349,0,0,308.31,1273.23
171,54,5847,582,0.45,8,4,61052,0,0,261.90000000000003,2631.15
172,63,8726,373,0.55,19,4,140340,2,0,205.15,4799.3
173,45,5575,654,0.58,28,4,117280,0,0,379.32,3233.5
174,36,11067,796,0.36,28,2,133561,3,1,286.56,3984.12
175,53,4418,627,0.5,26,0,6464,0,0,313.5,2209.0
176,53,6198,834,0.58,16,2,129233,2,1,483.71999999999997,3594.8399999999997
177,45,3001,746,0.18,4,4,27133,0,0,134.28,540.18
178,62,7244,672,0.11,12,4,48645,0,0,73.92,796.84
179,33,13576,661,0.53,14,4,11965,3,1,350.33000000000004,7195.280000000001
180,60,9119,392,0.2,14,4,19036,0,0,78.4,1823.8000000000002
181,23,6066,620,0.12,17,1,77963,1,0,74.39999999999999,727.92
182,24,4845,623,0.18,1,4,97888,2,0,112.14,872.1
183,58,11673,683,0.29,22,2,100714,0,0,198.07,3385.1699999999996
184,38,13493,645,0.21,12,4,134913,0,0,135.45,2833.5299999999997
185,23,10849,402,0.25,3,3,105689,0,0,100.5,2712.25
186,23,7316,514,0.59,24,1,89637,0,0,303.26,4316.44
187,49,12972,491,0.45,10,4,135011,2,0,220.95000000000002,5837.400000000001
188,44,2422,493,0.46,11,3,105985,1,0,226.78,1114.1200000000001
189,58,8715,679,0.15,12,2,19239,0,0,101.85,1307.25
190,53,13873,702,0.47,8,1,52849,1,1,329.94,6520.3099999999995
191,54,6266,310,0.47,37,4,25136,3,1,145.7,2945.02
192,22,9549,486,0.43,5,2,103641,0,0,208.98,4106.07
193,40,8316,314,0.21,9,3,132912,0,0,65.94,1746.36
194,23,4710,596,0.31,22,1,58888,0,0,184.76,1460.1
195,47,10644,710,0.52,14,4,31711,2,1,369.2,5534.88
196,53,12589,351,0.44,22,2,19581,0,0,154.44,5539.16
197,27,10069,327,0.47,39,1,5347,2,1,153.69,4732.429999999999
198,53,12167,316,0.39,36,3,25419,3,1,123.24000000000001,4745.13
199,25,3657,650,0.32,33,4,23828,0,0,208.0,1170.24
200,32,4541,727,0.48,15,1,99256,0,0,348.96,2179.68
201,38,8763,528,0.13,31,3,86946,0,0,68.64,1139.19
202,59,5075,509,0.44,37,3,42621,0,0,223.96,2233.0
203,45,5164,730,0.6,39,2,64877,0,0,438.0,3098.4
204,26,13158,593,0.49,4,3,143309,1,1,290.57,6447.42
205,55,4053,403,0.25,16,3,146077,0,0,100.75,1013.25
206,27,10479,503,0.24,21,0,87409,3,0,120.72,2514.96
207,43,7737,352,0.43,38,3,30124,0,0,151.35999999999999,3326.91
208,32,5217,674,0.55,17,4,17802,0,0,370.70000000000005,2869.3500000000004
209,37,14046,353,0.39,27,1,147677,1,0,137.67000000000002,5477.9400000000005
210,54,3447,575,0.36,12,4,130325,0,0,207.0,1240.9199999999998
211,30,8009,634,0.18,0,4,61171,0,0,114.11999999999999,1441.62
212,27,2607,330,0.46,18,2,139670,0,0,151.8,1199.22
213,37,6552,434,0.45,33,0,77810,2,1,195.3,2948.4
214,50,3764,357,0.58,3,0,58556,0,1,207.05999999999997,2183.12
215,24,11417,404,0.25,2,4,104380,0,0,101.0,2854.25
216,41,11427,565,0.48,9,1,57258,3,1,271.2,5484.96
217,57,11221,821,0.32,27,0,123325,0,0,262.72,3590.7200000000003
218,40,4671,795,0.38,33,0,130399,0,0,302.1,1774.98
219,47,8519,552,0.51,38,4,4011,0,0,281.52,4344.6900000000005
220,24,5962,594,0.21,18,0,73976,0,0,124.74,1252.02
221,40,14734,457,0.27,35,2,70512,0,1,123.39000000000001,3978.1800000000003
222,41,5177,848,0.49,2,4,63904,0,0,415.52,2536.73
223,53,5722,366,0.39,22,0,61827,2,1,142.74,2231.58
224,28,6906,598,0.15,16,0,6540,1,0,89.7,1035.8999999999999
225,62,9263,762,0.32,6,0,146923,0,0,243.84,2964.16
226,54,7054,400,0.39,25,4,143902,0,0,156.0,2751.06
227,61,11667,355,0.55,17,1,64892,1,1,195.25000000000003,6416.85
228,60,13088,631,0.19,5,3,29072,0,0,119.89,2486.7200000000003
229,39,2808,692,0.5,30,0,64485,0,0,346.0,1404.0
230,61,11170,680,0.17,28,3,121357,0,0,115.60000000000001,1898.9
231,22,12655,391,0.22,8,3,141321,0,1,86.02,2784.1
232,32,2725,746,0.22,34,0,55114,0,0,164.12,599.5
233,49,12693,408,0.54,16,0,38502,0,1,220.32000000000002,6854.22
234,46,13554,616,0.2,11,3,125779,0,0,123.2,2710.8
235,44,9701,467,0.49,35,1,83017,1,1,228.82999999999998,4753.49
236,52,3216,734,0.33,23,3,97995,0,0,242.22,1061.28
237,51,6051,741,0.6,9,1,131415,0,0,444.59999999999997,3630.6
238,63,4197,517,0.52,29,2,122755,0,0,268.84000000000003,2182.44
239,56,4806,521,0.47,28,1,133586,0,0,244.86999999999998,2258.8199999999997
240,28,10970,827,0.54,38,4,135028,0,0,446.58000000000004,5923.8
241,37,2972,577,0.42,9,0,71899,0,0,242.34,1248.24
242,47,13002,765,0.52,38,2,122726,0,0,397.8,6761.04
243,23,7634,329,0.23,27,3,130651,1,0,75.67,1755.8200000000002
244,22,9483,658,0.15,17,1,59049,0,0,98.7,1422.45
245,33,4123,587,0.41,16,2,41492,0,0,240.67,1690.4299999999998
246,26,10790,385,0.32,10,4,143642,0,0,123.2,3452.8
247,58,13533,533,0.31,0,1,144944,2,0,165.23,4195.23
248,53,2224,612,0.36,16,3,85044,2,0,220.32,800.64
249,30,11032,664,0.28,35,3,124152,0,0,185.92000000000002,3088.9600000000005
250,62,3814,568,0.41,35,1,144756,0,0,232.88,1563.74
251,56,3106,430,0.12,8,4,85476,0,1,51.6,372.71999999999997
252,40,2124,650,0.58,27,0,104228,0,0,377.0,1231.9199999999998
253,37,5246,479,0.56,32,0,12197,2,1,268.24,2937.76
254,24,4931,779,0.57,2,3,117640,1,0,444.03,2810.6699999999996
255,41,14317,462,0.28,7,4,122302,0,0,129.36,4008.76
256,45,4971,395,0.37,5,3,37793,0,0,146.15,1839.27
257,54,4017,809,0.58,5,0,52088,0,0,469.21999999999997,2329.8599999999997
258,45,9415,664,0.55,28,3,49869,0,0,365.20000000000005,5178.25
259,32,4415,652,0.5,36,1,125576,0,0,326.0,2207.5
260,29,14782,735,0.3,11,1,127366,0,0,220.5,4434.599999999999
261,57,5096,382,0.38,8,4,133641,3,0,145.16,1936.48
262,59,3609,524,0.5,18,0,143640,0,0,262.0,1804.5
263,61,2717,711,0.24,16,4,128337,2,0,170.64,652.0799999999999
264,41,5561,417,0.41,31,4,134337,1,0,170.97,2280.0099999999998
265,56,11208,781,0.51,34,0,57703,1,1,398.31,5716.08
266,46,13757,491,0.45,13,2,43351,0,1,220.95000000000002,6190.650000000001
267,56,14893,406,0.34,15,2,47626,0,0,138.04000000000002,5063.620000000001
268,46,14662,681,0.39,20,3,102834,0,0,265.59000000000003,5718.18
269,50,8782,689,0.59,11,2,107642,3,0,406.51,5181.38
270,39,12152,543,0.4,23,1,29042,2,0,217.20000000000002,4860.8
271,39,3048,767,0.49,33,4,45117,0,0,375.83,1493.52
272,23,11549,837,0.46,7,3,60655,0,0,385.02000000000004,5312.54
273,56,13618,509,0.45,20,4,39465,0,0,229.05,6128.1
274,37,10307,372,0.46,7,0,132579,0,0,171.12,4741.22
275,62,12287,608,0.33,27,2,26076,1,0,200.64000000000001,4054.71
276,57,9905,485,0.34,15,0,42069,1,1,164.9,3367.7000000000003
277,54,11993,552,0.33,9,3,15615,1,0,182.16,3957.69
278,25,12338,312,0.12,14,1,136872,0,0,37.44,1480.56
279,54,7578,598,0.22,3,2,73763,0,0,131.56,1667.16
280,35,3620,375,0.18,25,0,53479,0,1,67.5,651.6
281,42,8548,350,0.54,14,2,27491,1,1,189.0,4615.92
282,41,9381,448,0.24,35,4,67181,2,1,107.52,2251.44
283,29,6780,421,0.17,31,1,57384,0,0,71.57000000000001,1152.6000000000001
284,28,13142,510,0.16,37,2,82154,0,0,81.60000000000001,2102.7200000000003
285,24,5792,579,0.45,3,1,101263,0,0,260.55,2606.4
286,38,4941,837,0.1,8,4,93690,1,0,83.7,494.1
287,54,7695,455,0.34,34,4,78693,0,0,154.70000000000002,2616.3
288,33,8401,537,0.16,27,0,59585,0,0,85.92,1344.16
289,43,11169,675,0.52,36,3,34132,0,0,351.0,5807.88
290,43,8197,381,0.58,8,0,18256,1,1,220.98,4754.259999999999
291,51,13258,791,0.58,1,1,49416,0,0,458.78,7689.639999999999
292,59,7450,655,0.32,2,0,111016,0,0,209.6,2384.0
293,59,10975,572,0.42,4,2,113981,0,0,240.23999999999998,4609.5
294,29,10432,343,0.4,9,0,93199,0,0,137.20000000000002,4172.8
295,48,7874,422,0.28,27,3,122541,1,0,118.16000000000001,2204.7200000000003
296,48,3553,648,0.32,14,3,93363,1,0,207.36,1136.96
297,55,14770,629,0.13,13,1,105218,0,0,81.77,1920.1000000000001
298,42,3012,708,0.5,22,4,59335,0,0,354.0,1506.0
299,51,10378,622,0.22,12,3,53004,0,0,136.84,2283.16
300,54,3881,410,0.33,15,1,81821,1,1,135.3,1280.73
301,49,8799,388,0.34,29,3,118020,0,0,131.92000000000002,2991.6600000000003
302,54,6586,732,0.38,39,3,73230,2,0,278.16,2502.68
303,26,10622,398,0.51,7,4,138371,0,0,202.98,5417.22
304,40,10430,838,0.45,16,2,135652,0,0,377.1,4693.5
305,25,8447,445,0.43,29,1,2707,0,0,191.35,3632.21
306,56,4345,556,0.36,16,3,74216,0,0,200.16,1564.2
307,38,2075,488,0.15,34,3,17273,0,0,73.2,311.25
308,49,11548,539,0.3,0,0,34362,0,0,161.7,3464.4
309,51,7877,802,0.58,23,2,47256,0,0,465.15999999999997,4568.66
310,50,8785,570,0.6,24,4,99224,1,1,342.0,5271.0
311,27,6922,819,0.47,1,1,119928,0,0,384.92999999999995,3253.3399999999997
312,56,10090,849,0.21,24,3,77864,0,0,178.29,2118.9
313,62,4330,413,0.15,13,1,128955,1,0,61.949999999999996,649.5
314,58,6686,638,0.31,38,4,117157,2,0,197.78,2072.66
315,45,3902,658,0.53,32,2,64414,0,0,348.74,2068.06
316,50,14205,633,0.46,16,0,93342,1,1,291.18,6534.3
317,52,6670,468,0.54,30,2,30566,0,1,252.72000000000003,3601.8
318,56,9143,638,0.41,9,0,116251,3,0,261.58,3748.6299999999997
319,54,4059,560,0.17,5,1,116695,0,0,95.2,690.0300000000001
320,42,2140,498,0.16,38,2,88221,3,1,79.68,342.40000000000003
321,53,3789,510,0.12,24,2,24379,0,0,61.199999999999996,454.68
322,44,13818,586,0.38,37,2,11937,0,0,222.68,5250.84
323,54,2016,771,0.22,36,4,24309,0,0,169.62,443.52
324,24,14540,781,0.47,29,1,12320,0,0,367.07,6833.799999999999
325,39,2464,322,0.44,33,0,135137,0,0,141.68,1084.16
326,46,6471,408,0.26,17,2,104404,0,0,106.08,1682.46
327,63,3827,595,0.19,23,1,42020,0,0,113.05,727.13
328,52,13220,305,0.15,26,4,61644,0,0,45.75,1983.0
329,24,10711,849,0.47,26,4,128360,0,0,399.03,5034.17
330,61,7956,502,0.33,38,1,125634,0,0,165.66,2625.48
331,45,2089,624,0.26,20,0,93506,0,0,162.24,543.14
332,53,6815,543,0.53,18,1,83009,0,0,287.79,3611.9500000000003
333,43,4851,626,0.4,38,1,94791,0,0,250.4,1940.4
334,44,4843,346,0.36,22,3,113058,0,0,124.56,1743.48
335,23,14917,312,0.47,38,4,99110,1,1,146.64,7010.99
336,48,12076,679,0.51,14,0,23136,0,0,346.29,6158.76
337,63,14363,664,0.44,1,3,127095,0,1,292.16,6319.72
338,23,11117,641,0.32,34,1,65422,0,0,205.12,3557.44
339,47,13926,520,0.29,19,4,4947,0,0,150.79999999999998,4038.5399999999995
340,38,8543,372,0.49,27,3,50872,0,1,182.28,4186.07
341,61,7901,345,0.36,14,3,12993,2,1,124.19999999999999,2844.3599999999997
342,54,2969,803,0.45,15,0,135821,1,0,361.35,1336.05
343,30,3094,573,0.55,32,1,11713,0,0,315.15000000000003,1701.7
344,64,8124,507,0.56,11,0,53933,0,0,283.92,4549.4400000000005
345,60,9347,423,0.24,38,3,62523,0,0,101.52,2243.2799999999997
346,50,5195,309,0.19,38,3,90064,0,0,58.71,987.0500000000001
347,63,3404,628,0.23,19,0,118368,2,0,144.44,782.9200000000001
348,47,13556,486,0.48,28,3,112342,2,0,233.28,6506.88
349,56,8940,842,0.29,2,2,88169,0,0,244.17999999999998,2592.6
350,46,6290,359,0.19,4,4,75742,0,1,68.21,1195.1
351,45,5982,741,0.15,1,1,81084,0,0,111.14999999999999,897.3
352,34,14515,516,0.26,22,4,78769,0,0,134.16,3773.9
353,28,14205,301,0.17,25,1,144880,1,0,51.17,2414.8500000000004
354,57,7555,835,0.18,25,3,137262,0,0,150.29999999999998,1359.8999999999999
355,41,9954,655,0.44,6,0,92270,0,0,288.2,4379.76
356,22,14748,464,0.11,9,0,91857,1,1,51.04,1622.28
357,29,6713,390,0.16,4,3,111188,0,0,62.4,1074.08
358,37,5092,466,0.52,11,1,81028,0,1,242.32000000000002,2647.84
359,35,6159,506,0.52,31,3,100940,0,0,263.12,3202.6800000000003
360,33,8308,581,0.26,30,1,84531,0,0,151.06,2160.08
361,44,12266,364,0.14,21,3,149646,0,0,50.96000000000001,1717.2400000000002
362,36,9478,815,0.45,16,3,147676,0,0,366.75,4265.1
363,49,10476,456,0.28,19,3,6868,1,1,127.68,2933.28
364,55,6933,605,0.12,19,0,113761,0,0,72.6,831.9599999999999
365,23,6926,694,0.18,7,1,131792,0,0,124.92,1246.68
366,53,11379,373,0.17,33,3,19218,1,1,63.410000000000004,1934.43
367,44,5969,486,0.39,22,4,125651,0,0,189.54000000000002,2327.91
368,43,4965,636,0.55,37,4,10300,1,1,349.8,2730.75
369,46,6319,539,0.5,27,0,99166,0,0,269.5,3159.5
370,43,10975,832,0.37,12,2,58804,0,0,307.84,4060.75
371,43,9108,440,0.31,28,0,53587,0,0,136.4,2823.48
372,63,11141,564,0.41,7,2,113473,0,0,231.23999999999998,4567.8099999999995
373,27,5939,438,0.32,10,0,29940,2,1,140.16,1900.48
374,36,2044,758,0.22,17,4,18535,0,0,166.76,449.68
375,64,3810,369,0.44,24,3,47997,0,0,162.36,1676.4
376,58,6566,684,0.54,21,1,121777,0,0,369.36,3545.6400000000003
377,54,12273,497,0.29,34,3,28584,0,1,144.13,3559.1699999999996
378,29,13690,504,0.52,28,4,137225,2,0,262.08,7118.8
379,26,11021,730,0.32,20,1,127169,2,0,233.6,3526.7200000000003
380,60,3909,624,0.3,6,2,129648,0,0,187.2,1172.7
381,25,8364,741,0.11,11,2,133717,0,0,81.51,920.04
382,27,4581,587,0.45,35,4,95595,0,0,264.15000000000003,2061.4500000000003
383,53,2691,525,0.5,23,1,77313,0,0,262.5,1345.5
384,51,14211,363,0.43,31,3,8660,0,1,156.09,6110.73
385,56,2931,797,0.18,26,4,134834,0,0,143.46,527.5799999999999
386,61,9910,359,0.15,31,2,114141,1,0,53.85,1486.5
387,37,8382,696,0.39,31,4,39597,0,0,271.44,3268.98
388,34,5406,556,0.3,31,3,52706,0,0,166.79999999999998,1621.8
389,63,10339,538,0.31,25,0,62212,0,0,166.78,3205.09
390,51,3032,337,0.58,10,0,78434,1,1,195.45999999999998,1758.56
391,40,3311,324,0.46,17,3,70444,0,1,149.04000000000002,1523.0600000000002
392,38,10579,709,0.31,38,1,8148,0,0,219.79,3279.49
